account,Rewards,combined_points,badge_17_tier,badge_17_points,badge_22_tier,badge_22_points,badge_26_tier,badge_26_points,pp_level
0xc250d56576fcf1584077ace94b3d06c3af4f32c3,1000,800,1,200,5,300,5,300,6
0xbdf72a7164355a66f3bf9d1829c3de12d9964164,1000,800,1,200,5,300,5,300,4
0x318e68636deaa9d4050e95bf33d31b8af4188d8c,1000,800,1,200,5,300,5,300,5
0xa5e4c681c45f53cbcd998ca01c77cec1d07ff3b1,1000,800,1,200,5,300,5,300,5
0xe7018def2241540a6851e0c1c26892f9e8d14d64,500,700,1,200,4,200,5,300,4
0x4988b2ac207c684125cadecd5cefa3a93dcaa72e,500,700,1,200,4,200,5,300,5
0x787940eaa7745ddc99a9b61990f75a39594c03b6,500,620,1,200,5,300,3,120,4
0x223c5cf3aa23fb56d86a34e95b615eef7771eae6,500,620,1,200,5,300,3,120,5
0x96054a9988453870f383320c399314a1e94d5033,500,620,1,200,5,300,3,120,5
0xb90258476100363ee4528fcbee451b2e3b0c69ce,500,620,1,200,5,300,3,120,4
0x0c1ba2851c70f1d6f96057fafee938c2c3712424,500,620,1,200,5,300,3,120,5
0xf333209635eca203be82e6eb178037de3fa4caca,500,620,1,200,5,300,3,120,4
0xbbfd8dac8e0a1be33955d9c0ce99f0a16f3ab75f,500,620,1,200,5,300,3,120,4
0xe7e4eeab3ed26eafc86591e3ba44f9bedbc8cb6b,500,620,1,200,5,300,3,120,4
0xd9eb6584d15d239b262aa218cc1a947e07d1f142,500,620,1,200,5,300,3,120,5
0x316be7c0a7657d97bb9040176faa9621e5faab53,500,620,1,200,5,300,3,120,5
0x06670ceb5e742f49850b07f30582a16e072c5388,400,560,1,200,5,300,2,60,4
0xed61188fd2e27e81a93334ac55ac540bba3fe442,400,560,1,200,5,300,2,60,4
0x584dcb99d81c3f5ffaf7fbb4282d78624033beb4,400,560,1,200,5,300,2,60,4
0x6d7fcd8b00602a7b3d7b6ccafde9c67df5a8a676,400,560,1,200,5,300,2,60,4
0x0e481e5567dd71bc8f2514ef3274f4c1d140b3c0,400,560,1,200,5,300,2,60,4
0xb817a9cfd8c63324294680218dfebc9980a3c439,400,560,1,200,5,300,2,60,4
0x53c1f24de30b462bc29c480af5887165ae16b392,400,560,1,200,5,300,2,60,4
